Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
Brian Holman,Legends,0.333,7,21,4,7,1,0,0,4,2,5,0,0,0,0,8,0.391,0.381,6,23,0.386781201566736,3.761559386737596,-0.5393291431493187,87.3532899171012,-0.3414071510957324,-0.8807362942450511,1.0158071135430915,0.13507081929804043,0.010194287223877711
Kian Stevens-Winston,Cardinals,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.0,0,2,0.4254265555516608,0.4162540070937534,0.04226370014706517,111.16488191671107,-0.04267589388696655,-0.0004121937399013814,0.08833105335157318,0.0879188596116718,0.00663555690218699
Sam Maier,Cardinals,0.211,6,19,3,4,1,0,1,4,2,3,1,4,0,0,8,0.318,0.421,2,22,0.34889029270119243,2.6363796436494322,-1.477513732764138,64.00655429779025,0.5866205305651673,-0.8908932021989708,0.971641586867305,0.08074838466833412,0.00609437501342752
Jake Sahagian,Legends,0.312,6,16,3,5,1,0,0,1,2,1,0,2,0,1,6,0.368,0.375,4,19,0.365816090317649,2.647856925854873,-0.9050509901386647,74.4354971215059,0.14394463667820073,-0.7611063534604641,0.8391450068399452,0.07803865337948113,0.005889861712911126
Samuel Prasse,Guapos,0.333,1,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0.333,0.333,1,3,0.32424365333326616,0.27420987049581863,-0.2867755899242137,48.82036345530195,0.15732410611303346,-0.12945148381118024,0.13249658002735976,0.003045096216179516,0.00022982451437997278
Chad Crunelle,Hard Knocks,0.267,9,15,2,4,0,0,0,1,1,4,3,0,0,0,4,0.421,0.267,4,19,0.3835525244133138,3.036608243356978,-0.5162996726365603,85.36391900576882,-0.3414071510957324,-0.8577068237322927,0.8391450068399452,-0.018561816892347482,-0.0014009280004445832
Jason Torres,Breakers,0.25,6,20,6,5,0,0,0,5,6,4,0,0,0,0,5,0.423,0.25,5,26,0.3834143641007278,4.151214754987158,-0.7106592353197896,85.27879060986595,-0.469434832756632,-1.1800940680764216,1.1483036935704514,-0.03179037450597022,-0.0023993354771425566
Kyle Jaffe,Cardinals,0.222,3,9,2,2,0,0,0,0,1,5,1,3,0,0,2,0.364,0.222,2,11,0.33135351836543037,1.095656852917984,-0.9612898352888012,53.201154103104756,0.4292964244521339,-0.5319934108366673,0.4858207934336525,-0.046172617403014815,-0.0034848157887154853
Matt Lynus,Guapos,0.25,1,4,0,1,0,0,0,1,0,1,1,0,0,0,1,0.4,0.25,1,5,0.36426092618332284,0.6878343352739548,-0.24714143209276573,73.47727239225523,-0.0853517877739331,-0.33249321986669883,0.22082763337893296,-0.11166558648776587,-0.008427808964179119
Christian Carter,Mariners,0.25,0,4,1,1,1,0,0,0,0,2,0,0,0,0,2,0.25,0.5,0,4,0.3394689134573734,0.4358680697385493,-0.31211254415482714,58.20150878792315,0.0,-0.31211254415482714,0.17666210670314636,-0.13545043745168078,-0.010222938390086074
Kevin Ibarra,Hard Knocks,0.214,4,14,0,3,0,0,0,3,3,2,2,0,0,0,3,0.421,0.214,3,19,0.37725787132331534,2.898640562324988,-0.65426735366855,81.48542662045918,-0.3414071510957324,-0.9956745047642824,0.8391450068399452,-0.15652949792433724,-0.011813851941839919
Jonathan Torres,Cardinals,0.333,1,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0.333,0.333,1,3,0.32424365333326616,0.27420987049581863,-0.2867755899242137,48.82036345530195,-0.04267589388696655,-0.3294514838111803,0.13249658002735976,-0.19695490378382052,-0.014864904720042623
Zane Huffman,Mariners,0.333,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0.333,0.333,1,3,0.32424365333326616,0.27420987049581863,-0.2867755899242137,48.82036345530195,-0.04267589388696655,-0.3294514838111803,0.13249658002735976,-0.19695490378382052,-0.014864904720042623
Released Player DP,Mariners,0.333,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0.333,0.333,1,3,0.32424365333326616,0.27420987049581863,-0.2867755899242137,48.82036345530195,-0.04267589388696655,-0.3294514838111803,0.13249658002735976,-0.19695490378382052,-0.014864904720042623
Kenny Lutz,Breakers,0.318,7,22,4,7,2,0,0,4,0,3,2,0,0,1,9,0.36,0.409,5,25,0.3710621379796645,3.6353171414035503,-1.0395616954300528,77.66788429506235,-0.2987312572087658,-1.3382929526388185,1.1041381668946648,-0.23415478574415372,-0.017672515448761177
Kenji Corbisiero,Mariners,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.0,0,3,0.2836177037011072,0.13361264714821097,-0.42737281327182136,23.788414268990152,-0.04267589388696655,-0.4700487071587879,0.13249658002735976,-0.3375521271314281,-0.025476289807761496
