,Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
23,Alex Van Horn,Hard Knocks,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,4.0,0.19997384042577993,0.04257655221839873,-0.5229048007737955,7.512663881096776,-0.025766871165644172,-0.5486716719394397,0.1617506631299735,-0.38692100880946617,-0.0318944397772316
20,Andrew Benn,Coyotes,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,4.0,0.19997384042577993,0.04257655221839873,-0.5229048007737955,7.512663881096776,-0.025766871165644172,-0.5486716719394397,0.1617506631299735,-0.38692100880946617,-0.0318944397772316
16,Austin Wilson,Coyotes,0.143,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.25,0.143,1.0,8.0,0.21971282502928025,0.2299053319938229,-0.9010573739905656,20.283482266034397,0.14846625766871166,-0.7525911163218539,0.323501326259947,-0.42908979006190695,-0.03537047137932413
13,Alex Torres,Guapos,0.105,8.0,19.0,6.0,2.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,2.0,0.346,0.105,2.0,26.0,0.2890339234224647,2.3993414508671154,-1.2762873435821471,65.13316301743238,-0.23190184049079754,-1.5081891840729447,1.0513793103448277,-0.456809873728117,-0.03765547663616488
8,Matthew Berezuk,Coyotes,0.255,13.0,47.0,4.0,12.0,1.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,13.0,0.314,0.277,11.0,51.0,0.2957580282343358,5.020751729797754,-2.189135520852722,69.4835550501848,-0.38650306748466257,-2.5756385883373847,2.062320954907162,-0.5133176334302227,-0.0423134902816648
22,Michael Mair,Hard Knocks,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.3453296051574952,-0.6280702816535924,-121.86732445747559,0.0,-0.6280702816535924,0.08087533156498675,-0.5471949500886056,-0.045106044863540896
9,David Odud,Guapos,0.222,11.0,36.0,3.0,8.0,0.0,0.0,0.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0,8.0,0.317,0.222,8.0,41.0,0.2844182397269099,3.6101045153226035,-2.1860793528473876,62.1468869053473,-0.13496932515337423,-2.321048678000762,1.6579442970822282,-0.6631043809185337,-0.05466062131983977
10,Gil Rodriguez,Guapos,0.217,9.0,23.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,5.0,0.308,0.217,5.0,26.0,0.2764893183755758,2.1003623710048025,-1.5752664234444602,57.0169971668252,-0.20613496932515338,-1.7814013927696135,1.0513793103448277,-0.7300220824247858,-0.06017674102419246
15,Eric Carrero,Hard Knocks,0.15,6.0,20.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,0.292,0.2,2.0,24.0,0.26927530855040643,1.7800881762712026,-1.612799941681963,52.34964415171336,-0.15460122699386503,-1.767401168675828,0.970503978779841,-0.796897189895987,-0.06568934964267784
23,Eric Chavez,Coyotes,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.5179944077362428,-0.9421054224803885,-121.86732445747559,0.0,-0.9421054224803885,0.12131299734748012,-0.8207924251329084,-0.06765906729531135
23,Pool Players,Legends,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.5179944077362428,-0.9421054224803885,-121.86732445747559,0.0,-0.9421054224803885,0.12131299734748012,-0.8207924251329084,-0.06765906729531135
25,Released Player JC,Coyotes,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.5179944077362428,-0.9421054224803885,-121.86732445747559,0.0,-0.9421054224803885,0.12131299734748012,-0.8207924251329084,-0.06765906729531135
16,Steven Ferguson,Legends,0.195,12.0,41.0,6.0,8.0,1.0,1.0,1.0,8.0,2.0,15.0,1.0,0.0,0.0,0.0,14.0,0.25,0.341,5.0,44.0,0.2802652502032464,3.7067549709333765,-2.513539911980761,59.45996678120626,-0.20613496932515338,-2.7196748813059144,1.7792572944297085,-0.9404175868762059,-0.07751993664640419
11,Kenny Lutz,Coyotes,0.208,8.0,24.0,2.0,5.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,0.269,0.25,4.0,26.0,0.2607391556471934,1.7249843385667634,-1.9506444558824994,46.826884971200094,-0.15460122699386503,-2.1052456828763644,1.0513793103448277,-1.0538663725315367,-0.08687167868030814
18,Ankit Shah,Coyotes,0.1,4.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.182,0.2,0.0,11.0,0.19528124827267457,0.0697686543529302,-1.485305066375604,4.47662918398957,-0.025766871165644172,-1.5110719375412482,0.4448143236074271,-1.0662576139338211,-0.08789310603543249
15,Alex Acuna,Guapos,0.1,3.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.182,0.2,0.0,11.0,0.1952097130034682,0.06904734201392446,-1.4860263787146097,4.4303469688958055,-0.025766871165644172,-1.511793249880254,0.4448143236074271,-1.0669789262728269,-0.08795256482012806
24,James Hernandez,Coyotes,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-0.6906592103149904,-1.2561405633071847,-121.86732445747559,0.0,-1.2561405633071847,0.1617506631299735,-1.0943899001772113,-0.09021208972708179
10,Alex Rangel,Coyotes,0.209,11.0,43.0,6.0,9.0,2.0,0.0,0.0,3.0,1.0,13.0,1.0,6.0,0.0,0.0,11.0,0.244,0.256,7.0,45.0,0.24444558319456502,2.3134414676885613,-4.048223753473624,36.28519507102963,0.9680981595092026,-3.0801255939644214,1.819694960212202,-1.2604306337522195,-0.10389905956588755
18,Willie Barcena,Hard Knocks,0.125,4.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.125,0.125,1.0,8.0,0.11972590481639027,-0.5033304305395663,-1.6342931365239548,-44.40651190325179,-0.025766871165644172,-1.660060007689599,0.323501326259947,-1.336558681429652,-0.11017440098370586
12,Samuel Prasse,Guapos,0.118,8.0,17.0,6.0,2.0,0.0,0.0,0.0,4.0,3.0,9.0,1.0,1.0,0.0,2.0,2.0,0.261,0.118,2.0,23.0,0.22236561025710663,0.7169072586641844,-2.5346105210409324,21.99979336507689,0.045398773006134985,-2.4892117480347973,0.9300663129973475,-1.5591454350374496,-0.12852253832056815
17,Valente Gutierrez,Hard Knocks,0.125,10.0,32.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,12.0,2.0,1.0,0.0,0.0,4.0,0.282,0.125,4.0,39.0,0.24176724897753302,1.9092323728462148,-3.604210818827679,34.55235417029685,-0.08343558282208591,-3.687646401649765,1.5770689655172416,-2.110577436132523,-0.17397784922312476
